rank,source_type,source,candidate_id,score,context_snippet,suggested_id,reason
118,pdf_page,MODULE 3_MindChange_part1#page=41,M1-Q20,0.226,"We share… • Personal information (true or false) • We share our identity (real, virtual or desired) Previous researches on online ID: 1) Focus on the lack of identity →role of anonymity 2) Focus on the possibility to change online ID and on the quality of  information shared",,
119,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=82,M1-Q20,0.226,"Expectation: Kahneman and Tversky's  prospect theory •The idea behind these theories is the balance between loss  and gain •In decision-making, potential losses tend to carry greater  weight than anticipated gains •In a clinical setting, patient anxiety and concerns about  treatments may be more rel",,
120,pdf_page,MODULE 3_MindChange_part1#page=95,M4-Q02,0.225,Nacc and online  reputation,,
121,pdf_page,MODULE 4_1_Neuro_mech-1#page=71,M4-Q16,0.225,"Conclusion Patients’ expectations about treatment can  significantly enhance its clinical efficacy, even  when the actual dose is lower.",,
122,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=52,M1-Q12,0.225,"CONTEXTUAL FACTORS:  what are they and how have they been studied?  Testa & Rossettini, 2016, Manual Therapy Rossettini, Carlino, Testa, 2018, BMC Musculoskeletal Disorders",,
123,pdf_page,MODULE 3_MindChange_part1#page=66,M4-Q22,0.224,What do we do online? Which are the  consequences? Online activities Share  information Add comments  Interact with  “friends” Biological and psychological  consequences 1. Change of the concept of identity 2. Change of the concept of privacy 3. Cerebral changes after sharing 4. “Like” effect and “d,,
124,pdf_page,MODULE 3_MindChange_part3#page=2,M1-Q20,0.224,Conceptual mapConceptual map Change of the world Change of the brain FREE TIME LEARNING 1) Memory →google effect 2) Searching 3) Reading 4) Multitasking,,
125,pdf_page,MODULE 3_MindChange_part3#page=22,M1-Q20,0.224,"• The brain scans of the Net-naive group  showed an activation pattern similar to that  of their text reading task. • Net-savvy group demonstrated significant  increases in activity in additional regions  that control decision making, complex  reasoning, and vision • After only five days of spending",,
126,pdf_page,MODULE 4_1_Neuro_mech-1#page=36,M1-Q12,0.224,"CONCLUSIONS • The nocebo effect acts on the motor system in  ""physiological"" conditions. • Expectation alone produces a worsening of  performance even without preconditioning",,
127,pdf_page,MODULE 4_1_Neuro_mech-1#page=56,M4-Q09,0.224,"Pollo et al., 2002; Benedetti et al., 2003 Improvement in behavioral studies",,
128,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=38,M4-Q07,0.224,"• STANDARD TRIALS (Phase I, II and III): • If active arm > placebo arm →We proceed with the other phases of  the trial VERUM GROUP (active arm) PLACEBO GROUP (placebo arm)",,
129,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=35,M1-Q17,0.223,PHASE II –Efficacy • Testing of the molecule on larger groups (300- 400 subjects). • Patients who have the pathology for which  the particular molecule is to be tested are  recruited Phase III If benefits are  observed,,
130,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=65,M4-Q22,0.223,"ETHICAL ISSUES IN THE USE OF PLACEBO • Use of placebo prohibited dentologically in certain conditions (e.g. depression, suicide risk, patients with cancer, etc.). • Without the placebo group, is it possible to evaluate the efficacy of a  treatment? • Possible use of trials with two active drugs (Old",,
131,pdf_page,MODULE 3_MindChange_part1#page=5,M4-Q16,0.222,Change of the World: from 3D to 2D 3D world Tablet PC Smartphone TV • Tech is everywhere • Facts can be accessed at random • Actions can be reverse • Time is short • 24/7 responsive and productivity,,
132,pdf_page,MODULE 3_MindChange_part3#page=18,M4-Q05,0.221,Different memories • Nondeclarative memory (or implicit or procedural memory) • Declarative (or explicit) memory • Episodic • Semantic,,
133,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=10,M4-Q07,0.221,"DEFINITIONS placebo /pla·cè·bo/ masculine noun Inert substance, with no specific effects ?? ? ? ? ? ? PLACEBO ? ? ?",,
134,pdf_page,MODULE 3_MindChange_part3#page=43,M4-Q22,0.220,"• Three tests in the study involved the subjects looking at shapes,  numbers, or letters, but the task was to remember something about  just some of the images on the screen and to ignore the others. Multitasking FILTERING TASK, example for shapes",,
135,pdf_page,MODULE 3_MindChange_part1#page=35,M1-Q12,0.219,Conclusions • Our brain is active and can change throughout our lifetime • Different factors can contribute to these changings Changing Time (s) Environments Experiences Deprivations Life-style,,
136,pdf_page,MODULE 4_1_Neuro_mech-1#page=65,M4-Q09,0.219,"• N = 42 PD patients (DBS) • 6 experimental groups • OUTCOMES: – Single Neuron Recording (Thalamus) – Wrist rigidity Benedetti et al., J Physiol, 2016 Improvements in single-neuron  studies",,
137,pdf_page,MODULE 4_1_Neuro_mech-1#page=70,M4-Q16,0.219,0 20 40 60 80 100 -50 0 50 100 % improvement ** * Full  Deceit  Half   % improvement ** * Full  Deceit  Half   UPDRS (part III) -50 0 50 100% improvement *** *** Full  Deceit  Half   Fatigue EEG STUDY Results showed a large difference between the two half-dose groups:  those who believedthey receive,,
138,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=58,M4-Q18,0.219,"HOW TO GIVE INFORMATION • IBS patients • Placebo acupuncture  Kelley et al., Psychosom Med. 2009 Augmented group: Treated with an empathetic approach Control group Limited group: Treated with a neutral approach",,
139,pdf_page,MODULE 3_MindChange_part1#page=38,M4-Q22,0.218,What do we do online? Which are the  consequences? Online activities Share  information Add comments  Interact with  “friends” Biological and psychological  consequences 1. Change of the concept of identity 2. Change of the concept of privacy 3. Cerebral changes after sharing 4. “Like” effect and “d,,
140,pdf_page,MODULE 3_MindChange_part1#page=40,M4-Q22,0.218,What do we do online? Which are the  consequences? Online activities Share  information Add comments  Interact with  “friends” Biological and psychological  consequences 1. Change of the concept of identity 2. Change of the concept of privacy 3. Cerebral changes after sharing 4. “Like” effect and “d,,
141,pdf_page,MODULE 3_MindChange_part1#page=52,M4-Q22,0.218,What do we do online? Which are the  consequences? Online activities Share  information Add comments  Interact with  “friends” Biological and psychological  consequences 1. Change of the concept of identity 2. Change of the concept of privacy 3. Cerebral changes after sharing 4. “Like” effect and “d,,
142,pdf_page,MODULE 3_MindChange_part1#page=57,M4-Q09,0.218,"Like effect • Conclusions: Taken together, imaging findings suggest that  adolescents perceive information online in a qualitatively different  way when they believe that this information is valued more highly by  peers. Sherman et al., 2016, Psychological Science",,
143,pdf_page,MODULE 3_MindChange_part2#page=55,M4-Q15,0.218,"VIDEOGAMES, AGGRESSION, AND RECKLESSNESS • Playing violent videogames has consequences on our behaviors. What  about our brain? behaviors ???",,
144,pdf_page,MODULE 4_1_Neuro_mech-1#page=33,M4-Q22,0.218,"Expectation protocol → patients showed partial  improvements: they could do more repetitions, but their fatigue  level did not change. Conditioning protocol → there was a clear improvement by  session 4 (final phase), both in subjective (RPE) and  objective (rep) measures CONCLUSION • The placebo ef",,
145,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=92,M4-Q09,0.218,"Clinical scenario Rossettini et al., 2022 (under review)",,
146,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=5,M4-Q22,0.217,Pharmacological Treatment masculine noun A substance capable of causing functional changes in the body by  means of a chemical or physical action,,
147,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=23,M4-Q15,0.217,Natural History (NH) Regression to the mean Bias NON-SPECIFIC FACTORS HOW CAN WE SAY THAT A DRUG (treatment)  is EFFECTIVE? • To control methodological factors→we administer a PLACEBO ✓ACTIVE ARM: receives the active treatment ✓PLACEBO ARM: receives the placebo treatment time Administration treatmen,,
148,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=39,M4-Q24,0.217,Gold standard?  All that glitters is not gold RCTs Problems,,
149,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=34,M1-Q20,0.216,"PHASE I –Safety and dosage  • Typically on humans (volunteers) (20-80  subjects) • Typically on healthy subjects (sometimes on  terminal patients in the absence of other  treatments) • It is used to test the pharmacokinetics and  toxicity • If the safety of the drug has been confirmed,  we move on t",,
150,pdf_page,MODULE 3_MindChange_part1#page=19,M1-Q20,0.215,London taxi drivers  For a rookie driver →2y  after passing “the  Knowledge” to become a  good taxi driver! Do London Taxi Drivers  show physical changes in  their brains as a result of  the very daily use of their  working memory? Maguire et al (2000). Navigation-related structural change in the hi,,
151,pdf_page,MODULE 3_MindChange_part3#page=28,M1-Q12,0.215,"• Students with high level of attention →more frequently guided their  learning in a linear manner, alternating between search engine results  and first links. Rarely did these learners select hyperlinks presented  on the links themselves, and it was these students who performed  better on the test",,
152,pdf_page,MODULE 4_1_Neuro_mech-1#page=61,M1-Q20,0.215,"• Double-blind study • During DBS surgery • Placebo administered in the operating room  after several days of preconditioning with  apomorphine Improvements in single-neuron  studies Benedetti,   Nature Neurosci  2004",,
153,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=36,M1-Q17,0.215,PHASE III – Approval phase • Increasing the number of patients  (multicenter studies with 2000-3000 patients) • Approval phase  If few side effects and good efficacy,,
154,pdf_page,MODULE 3_MindChange_part1#page=8,M1-Q13,0.214,Internet sales as a percentage of total retail  sales (ratio) (%)  www.ons.gov.uk,,
155,pdf_page,MODULE 3_MindChange_part2#page=5,M4-Q19,0.214,Time on videogames,,
156,pdf_page,MODULE 3_MindChange_part3#page=36,M4-Q22,0.214,"Readings This paper was conducted in the  following order:  1) pre-CFF measurement,  2) p-/e-book reading, 3) post-CFF measurement,  4) quiz and questionnaire.  5) exit",,
157,pdf_page,MODULE 3_MindChange_part1#page=6,M4-Q16,0.213,"Change of the World: from 3D to 2D This change seems different from previous changes (car, electricity, TV)  for different reasons:  1) This change is different of its pervasiveness. 2) The shift from technology as a means to its being an end in and of  itself",,
158,pdf_page,MODULE 3_MindChange_part1#page=37,M1-Q20,0.213,"What do we do online?  Meshi et al., (2015). The Emerging Neuroscience of Social Media. Trends in Cognitive Sciences, Vol.19, No.12 771-782. http://dx.doi.org/10.1016/j.tics.2015.09.004",,
159,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=46,M4-Q16,0.213,"PLACEBO IN CLINICAL TRIALS:  ACTIVE ARM PROBLEMS • Negative RCTs are increasing over time in different therapeutic areas  (oncology, chronic and musculoskeletal pain, CNS disorders) • In the majority of trials (52%), the problem is the absence of a  difference between the treatment and the placebo→",,
160,pdf_page,MODULE 3_MindChange_part1#page=50,M1-Q20,0.211,"Sharing effect • As a species, we seem to have such a craving for self-disclosure that it  could be considered a very basic part of the human psyche • Harvard scientists have actually  demonstrated that sharing personal  information about oneself, as on social  networking sites, activates the reward",,
161,pdf_page,MODULE 3_MindChange_part1#page=85,M1-Q20,0.211,"Empathy levels • Change of communication →reduced interactions →change of  empathy. • A survey of fourteen thousand U.S. college students suggests that  levels of empathy may be declining. • A huge drop in the curve is related to the last decade, a period that  corresponds to the increase of social",,
162,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=97,M1-Q20,0.210,"SOCIAL CONDITIONING Colloca et al., Philos Trans R Soc Lond B Biol Sci, 2011 • Learning mediated by the presence of a social  context (observational) –Presence of an ""actor"" who simulates  improvements or worsening –In the clinical context→waiting room",,
163,pdf_page,MODULE 3_MindChange_part1#page=10,M4-Q05,0.209,Pervasiveness • Work/study • Communicate with friends • Find new friends • Gain information and news • Shopping • Spare time • Alarm • Maps • … Tablet PC Smartphone TV,,
164,pdf_page,MODULE 4_1_Neuro_mech-1#page=60,M1-Q20,0.209,Improvement in PET studies • Clinical improvement associated with → dorsal striatum (caudate and putamen) • Expectation of beneficial associated with→ ventral striatum (accumbens),,
165,pdf_page,MODULE 4_1_Neuro_mech-1#page=59,M4-Q16,0.208,• All patients showed a dopamine release BUT  only half also reported clinical improvement • These patients (clinically improved):  increased release of dopamine at the level of  the dorsal striatum. De la Fuente-Fernandez et al.  Science  2001 Improvement in PET studies,,
166,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=8,M4-Q22,0.208,From pharmacological treatments to other  treatments Pharmacological  treatment  Surgical  treatment Manual therapies Psychotherapy,,
167,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=24,M4-Q16,0.208,"CLINICAL TRIALS • Gold standard → RCT (Randomized – double blind – placebo  controlled – Clinical Trial) • Examples of ""historical"" controlled trials: 1. Mesmerism (Mesmer, commissioned by Benjamin Franklin → there is no magnetic fluid, it is a matter of imagination or  spontaneous remission) 2. Hom",,
168,pdf_page,MODULE 4_1_Neuro_mech-1#page=64,M1-Q20,0.207,Placebo responder: reduction of  firing rate in the STN associated with  reduction in the substance nigra and  increase in the thalamic nuclei Placebo non-responder + + - - + + increasedecrease pre –post  pre Neuronal firing rate (Hz) STN SNr Th STN,,
169,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=73,M4-Q15,0.206,BEHAVIORAL STUDIES EEGPHARMACOLOGY How can it be studied? fMRI / PET,,
170,pdf_image,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=12#docs\pdf_images\MODULE 4_2_RCT_PSYCH_MECHANISMS\page_12_img1.png,M4-Q22,0.206,PLACEBO in modern science: 3 contexts • In clinical trials→ the aim is to REDUCE the placebo effect Placebo administered to quantify the efficacy of an active  treatment,,
171,pdf_page,MODULE 3_MindChange_part1#page=14,M4-Q16,0.205,"Digital Native vs Digital Immigrants Irrespective of the date  of born, parents are most  likely to be Digital  Immigrants and their  children Digital Natives The former are still learning the enormous potential of these technologies in adulthood, while the latter have known nothing else",,
172,pdf_page,MODULE 3_MindChange_part1#page=64,M1-Q20,0.205,"Dopamine effect • If social networking is rewarding and exciting, it is very likely that  social networking might serve as another trigger for the release of  dopamine in the brain. • Specific features of Facebook and other social networking sites  might make them triggers for dopamine release Weins",,
173,pdf_page,MODULE 3_MindChange_part2#page=31,M1-Q20,0.205,"Videogames and rewards • MMORPGs have been studied because excessive gaming is most  commonly seen in MMORPGs • The reward structure built into the game influences the development  of excessive gaming • MMORPGs have intricate reward  systems built into the games, with  gamers constantly trying to re",,
174,pdf_page,MODULE 3_MindChange_part3#page=15,M1-Q20,0.205,Google effect EXPERIMENT 4:  • Was conducted to see if  people would recall “where” to find information more than  the information itself (“what”) • Participants believed all trivia  statements that they typed  would be saved into one of  five generic folders Statement: The capital of Karnataka is B,,
175,pdf_page,MODULE 3_MindChange_part3#page=20,M1-Q12,0.205,•Task: Patterns of brain activation during functional MRI  scanning were determined while subjects performed  1. a novel Internet search task Googling 2.   or a control task of reading text on a  computer screen formatted to simulate  the prototypic layout of a printed book  Read  this text,,
176,pdf_page,MODULE 4_1_Neuro_mech-1#page=43,M4-Q09,0.205,Goebel et al. (2002) FASEB J. 16: 1869-1873. Strawberry  milk Cyclosporin A (immunosuppressant: reduction of interleukin-2 and interferon) Placebo Strawberry  milk CONDITIONED GROUP ACQUISITION EVOCATION Control group Conditioned group Drug group IMMUNOSUPPRESSION,,
177,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=51,M4-Q22,0.205,"Benedetti F, Carlino E, Pollo A. Neuropsychopharmacology 2011;36:339-54 Benedetti F, Carlino E, Pollo A. Neuropsychopharmacology 2011;36:339-54 Clinical trialist Neurobiologist Our interest /TREATMENT PLACEBO EFFECT",,
178,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=83,M1-Q20,0.205,"Expectation: Rescorla-Wagner's model •Expectations develop as a result of an associative learning  process. •According to the Rescorla-Wagner model, expectations are  learned following trials (learning what to expect). •The strength of expectations is given by the number of trials that  confirm the",,
179,pdf_image,MODULE 3_MindChange_part2#page=2#docs\pdf_images\MODULE 3_MindChange_part2\page_2_img1.png,M3-Q13,0.205,Conceptual mapConceptual map Change of the world Change of the brain FREE TIME LEARNING enlarged ventral  striatum AGGRESSION,,
180,pdf_image,MODULE 3_MindChange_part2#page=2#docs\pdf_images\MODULE 3_MindChange_part2\page_2_img2.png,M3-Q13,0.205,Conceptual mapConceptual map Change of the world Change of the brain FREE TIME LEARNING enlarged ventral  striatum AGGRESSION,,
181,pdf_image,MODULE 3_MindChange_part2#page=2#docs\pdf_images\MODULE 3_MindChange_part2\page_2_img3.png,M3-Q13,0.205,Conceptual mapConceptual map Change of the world Change of the brain FREE TIME LEARNING enlarged ventral  striatum AGGRESSION,,
182,pdf_image,MODULE 3_MindChange_part2#page=2#docs\pdf_images\MODULE 3_MindChange_part2\page_2_img4.png,M3-Q13,0.205,Conceptual mapConceptual map Change of the world Change of the brain FREE TIME LEARNING enlarged ventral  striatum AGGRESSION,,
183,pdf_image,MODULE 3_MindChange_part2#page=2#docs\pdf_images\MODULE 3_MindChange_part2\page_2_img5.png,M3-Q13,0.205,Conceptual mapConceptual map Change of the world Change of the brain FREE TIME LEARNING enlarged ventral  striatum AGGRESSION,,
184,pdf_image,MODULE 3_MindChange_part2#page=2#docs\pdf_images\MODULE 3_MindChange_part2\page_2_img6.png,M3-Q13,0.205,Conceptual mapConceptual map Change of the world Change of the brain FREE TIME LEARNING enlarged ventral  striatum AGGRESSION,,
185,pdf_image,MODULE 3_MindChange_part2#page=2#docs\pdf_images\MODULE 3_MindChange_part2\page_2_img7.png,M3-Q13,0.205,Conceptual mapConceptual map Change of the world Change of the brain FREE TIME LEARNING enlarged ventral  striatum AGGRESSION,,
186,pdf_image,MODULE 3_MindChange_part2#page=2#docs\pdf_images\MODULE 3_MindChange_part2\page_2_img8.png,M3-Q13,0.205,Conceptual mapConceptual map Change of the world Change of the brain FREE TIME LEARNING enlarged ventral  striatum AGGRESSION,,
187,pdf_image,MODULE 3_MindChange_part2#page=2#docs\pdf_images\MODULE 3_MindChange_part2\page_2_img9.png,M3-Q13,0.205,Conceptual mapConceptual map Change of the world Change of the brain FREE TIME LEARNING enlarged ventral  striatum AGGRESSION,,
188,pdf_image,MODULE 3_MindChange_part2#page=2#docs\pdf_images\MODULE 3_MindChange_part2\page_2_img10.png,M3-Q13,0.205,Conceptual mapConceptual map Change of the world Change of the brain FREE TIME LEARNING enlarged ventral  striatum AGGRESSION,,
189,pdf_page,MODULE 3_MindChange_part1#page=9,M1-Q20,0.204,Pervasiveness • Study on US adults using social networking sites • 24% of U.S. adult users of social networking sites reported a curious  phenomenon in 2012—that they missed out on a key event or  moment in their lives because they were so absorbed in updating  their social networking site about tha,,
190,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=6,M1-Q17,0.204,PHARMACOLOGICAL  TREATMENT • molecule introduced into the body • has certain biochemical actions • has certain biological effects ex. morphine pain μ μ First analgesic pathway Second analgesic pathway,,
191,pdf_page,MODULE 3_MindChange_part2#page=61,M4-Q16,0.203,"From aggression to attention • Could videogames, given their fast-paced and vivid content, be  affecting attention in a way that is unprecedented and unique  compared to all the usual, more muted distractions of real life? • Contrasting results: both positive and negative results…",,
192,pdf_page,MODULE 3_MindChange_part3#page=31,M4-Q15,0.203,Reading from books to  screens  Read  this text,,
193,pdf_page,MODULE 4_1_Neuro_mech-1#page=54,M4-Q22,0.203,"Improvement in behavioral studies • The expectation of clinical improvement plays a crucial role • Typical experimental situation: placebo is administered  giving the patient positive expectations of improvement • Bradykinesia is the symptom more sensitive to positive  expectations, compared to trem",,
194,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=37,M1-Q20,0.203,"PHASE IV –Post-marketing  surveillance • MARKET LAUNCH • Phase that lasts ""forever“ • The recording of side effects continues. • Ex: Thalidomide, marketed after animal testing  (late 50s) →Lancet study →administration of thalidomide to pregnant mice  resulted in the birth of broods with severe limb",,
195,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=41,M4-Q16,0.203,"PLACEBO IN CLINICAL TRIALS: PROBLEMS One therapy is tested by comparing the ""active treatment arm"" with the  ""placebo arm"". Unfortunately, this comparison often generates uncertainty for several  reasons: • Wrong interpretation (I report a difference that does not exist).  • Inability to find a diff",,
196,pdf_page,MODULE 4_2_RCT_PSYCH_MECHANISMS#page=59,M1-Q20,0.203,"Testa & Rossettini, 2016, Manual Therapy Rossettini, Carlino, Testa, 2018, BMC Musculoskeletal Disorders CONTEXTUAL FACTORS:  what are they and how have they been studied?",,
197,pdf_image,MODULE 4_1_Neuro_mech-1#page=29#docs\pdf_images\MODULE 4_1_Neuro_mech-1\page_29_img1.png,M4-Q18,0.203,MOTOR  SYSTEM Placebo effect (caffeine drink) Nocebo effect (sham stimulation),,
198,pdf_image,MODULE 4_1_Neuro_mech-1#page=29#docs\pdf_images\MODULE 4_1_Neuro_mech-1\page_29_img2.png,M4-Q18,0.203,MOTOR  SYSTEM Placebo effect (caffeine drink) Nocebo effect (sham stimulation),,
199,pdf_image,MODULE 4_1_Neuro_mech-1#page=29#docs\pdf_images\MODULE 4_1_Neuro_mech-1\page_29_img3.png,M4-Q18,0.203,MOTOR  SYSTEM Placebo effect (caffeine drink) Nocebo effect (sham stimulation),,
200,pdf_image,MODULE 4_1_Neuro_mech-1#page=29#docs\pdf_images\MODULE 4_1_Neuro_mech-1\page_29_img4.png,M4-Q18,0.203,MOTOR  SYSTEM Placebo effect (caffeine drink) Nocebo effect (sham stimulation),,
